age,sexe,vols_betail,injustice,mal_gouvernance,religion,pauvrete,mimetisme,politique,ignorance,probleme_education,egoisme,conflit_ethnique,chomage,orgueil
39,Femme,3,2,7,3,5,6,7,3,3,6,4,4,3
20,Homme,3,6,6,1,5,6,6,5,1,7,5,1,2
17,Homme,4,3,3,7,4,6,7,2,1,2,5,2,1
12,Homme,3,7,3,7,4,1,6,3,3,5,2,3,5
52,Homme,3,3,3,1,2,6,2,2,2,3,5,7,1
22,Homme,7,7,4,4,2,1,1,4,6,6,4,5,3
41,Homme,6,1,4,5,6,7,2,3,4,5,1,7,6
33,Homme,4,6,2,4,7,6,4,5,6,4,7,4,3
38,Femme,1,4,2,3,1,1,7,1,2,4,7,6,5
49,Homme,1,3,7,7,4,7,7,5,4,5,5,1,6
39,Homme,4,2,5,7,7,5,2,2,3,3,7,5,2
48,Homme,2,3,1,2,6,5,5,5,5,5,4,5,5
63,Femme,7,2,1,2,5,6,2,4,1,2,5,5,2
18,Homme,3,1,1,2,4,6,2,5,5,7,2,4,2
45,Homme,7,2,6,2,6,2,5,7,3,3,7,2,6
16,Homme,3,1,3,7,7,5,5,6,3,6,6,4,1
27,Femme,7,7,2,7,6,2,7,7,4,5,5,2,2
21,Homme,2,2,1,6,3,7,5,5,5,1,1,1,2
59,Homme,3,6,1,1,6,3,1,4,5,2,1,3,1
53,Homme,2,3,1,2,6,3,5,1,2,6,5,7,6
52,Homme,4,2,5,7,1,5,3,4,6,3,6,1,7
31,Homme,4,5,3,3,6,5,4,5,5,5,5,5,4
62,Homme,6,6,3,3,2,6,3,4,7,4,1,5,5
51,Homme,2,3,7,4,7,1,5,2,3,4,4,4,6
13,Homme,3,3,4,1,5,1,6,5,5,4,2,5,2
57,Homme,5,4,5,5,5,1,5,4,7,5,4,1,5
21,Homme,6,4,5,7,7,2,3,1,2,1,4,1,6
36,Homme,7,7,1,7,3,3,3,5,6,1,6,7,4
50,Homme,6,5,5,1,6,2,4,6,5,6,6,2,4
18,Homme,4,6,5,3,1,2,4,2,1,3,5,2,1
48,Homme,4,7,1,3,1,5,1,6,7,7,5,2,2
27,Femme,7,3,3,6,4,6,2,7,1,6,5,2,3
23,Homme,3,3,4,6,4,5,3,1,2,1,5,6,5
53,Homme,2,6,1,3,4,3,3,4,4,6,5,4,5
29,Homme,2,6,1,7,4,6,5,4,7,3,4,5,4
18,Femme,4,2,6,6,5,7,5,4,3,1,7,1,3
46,Femme,1,2,3,2,2,7,1,1,1,1,7,2,6
24,Homme,7,4,2,3,4,6,2,3,1,3,2,6,3
38,Femme,6,1,3,3,6,5,3,4,1,2,2,6,6
60,Femme,3,7,4,3,5,4,7,3,5,7,5,4,7
50,Homme,1,6,1,7,7,4,5,7,6,6,6,4,6
23,Femme,5,5,3,7,4,2,2,1,5,3,5,3,5
58,Femme,2,7,1,1,3,6,2,3,3,2,1,2,1
46,Homme,4,2,2,2,2,2,5,3,5,4,4,7,6
53,Homme,3,1,5,5,3,7,2,2,4,1,3,1,4
42,Homme,3,5,3,5,2,6,6,3,6,5,3,4,3
15,Femme,2,2,1,7,4,2,5,3,5,6,3,5,3
33,Homme,1,6,5,1,3,6,7,3,2,3,7,3,7
20,Homme,1,6,4,5,3,5,5,4,2,3,2,1,1
45,Homme,2,5,5,5,3,6,1,5,6,6,1,2,7
25,Homme,4,3,4,7,3,6,6,4,2,5,2,4,4
18,Femme,4,4,7,5,6,4,4,5,2,5,5,4,7
42,Homme,4,1,3,1,2,4,5,5,2,6,7,4,7
44,Homme,3,6,3,2,5,4,5,5,4,2,3,6,4
15,Homme,7,3,7,1,4,4,6,4,1,2,1,7,3
46,Homme,4,5,4,2,2,5,6,4,6,7,6,6,3
16,Homme,2,2,6,3,3,1,3,3,7,2,6,7,7
19,Homme,7,1,4,2,1,6,1,7,1,2,6,2,5
69,Homme,3,5,4,5,2,3,3,3,1,2,7,4,2
38,Femme,3,1,2,5,4,3,7,7,2,4,1,3,4
62,Homme,3,4,5,2,5,7,7,2,5,3,3,7,5
49,Homme,4,4,4,4,5,5,4,3,5,4,2,4,1
23,Homme,6,1,3,1,4,5,7,6,1,6,1,7,7
39,Femme,7,5,2,7,7,4,5,7,4,2,4,6,5
65,Homme,4,5,7,2,1,2,6,6,3,3,1,5,6
47,Femme,6,1,6,7,3,4,1,1,7,1,4,6,1
44,Homme,1,1,5,4,5,3,3,6,6,4,1,1,3
28,Homme,1,1,3,2,2,4,2,3,5,5,5,1,2
48,Homme,6,5,5,5,2,4,4,6,1,7,3,4,5
56,Homme,3,6,2,2,5,4,7,3,2,2,3,7,5
57,Homme,2,2,5,6,2,3,5,6,3,6,1,6,5
62,Homme,4,2,2,6,4,4,5,6,3,4,2,6,3
59,Homme,3,6,4,7,6,5,7,4,5,1,3,3,1
23,Homme,5,6,1,6,1,7,6,3,5,2,2,7,3
35,Homme,3,6,5,2,6,5,6,4,7,2,4,6,2
33,Homme,6,3,1,6,4,3,5,5,3,2,2,5,3
50,Homme,6,4,5,1,1,4,1,2,7,5,2,6,1
14,Femme,7,6,5,3,2,1,7,7,2,6,4,3,5
35,Homme,1,4,3,3,5,4,3,7,4,2,6,2,7
31,Homme,5,5,6,6,1,6,7,6,2,7,7,2,3
55,Homme,2,6,7,3,4,6,7,5,2,6,1,1,2
63,Femme,5,7,3,5,6,1,6,7,7,3,6,6,4
64,Homme,5,1,1,5,4,5,2,4,3,6,4,6,7
25,Homme,6,4,1,3,3,2,5,1,6,3,5,7,3
68,Homme,2,3,1,2,4,7,5,5,7,2,5,4,2
66,Femme,7,4,7,5,6,3,7,5,4,4,6,2,2
46,Homme,1,7,1,7,7,4,4,5,3,3,2,2,1
58,Homme,7,4,2,2,2,5,5,2,7,6,5,4,7
60,Femme,2,4,7,3,3,3,7,5,3,2,4,3,1
54,Homme,4,3,7,1,1,1,7,7,3,3,4,6,2
18,Homme,2,4,4,7,3,4,3,5,5,4,1,1,6
21,Homme,5,3,7,6,3,2,3,5,6,1,1,2,4
36,Homme,1,6,5,3,7,5,3,4,2,4,7,3,1
35,Homme,1,4,3,3,7,2,7,6,1,4,4,7,2
54,Femme,7,7,2,3,6,7,2,6,1,2,7,1,5
37,Femme,6,1,6,7,7,3,1,5,2,7,6,6,7
60,Homme,4,7,4,1,2,6,2,5,1,1,1,6,3
47,Homme,6,1,6,2,6,3,2,2,2,5,4,3,6
68,Homme,2,7,6,2,7,1,7,3,1,1,2,7,5
66,Femme,6,6,7,7,1,4,1,6,6,4,5,6,2
46,Homme,3,5,4,5,6,7,4,3,6,7,6,2,2
41,Homme,5,1,1,1,1,2,1,6,6,6,6,6,2
20,Femme,1,2,5,3,7,2,2,2,3,1,1,2,7
15,Homme,6,1,1,1,1,6,7,4,7,6,2,1,7
45,Homme,6,2,6,7,7,5,2,6,5,3,4,2,7
60,Homme,4,4,2,1,7,2,6,7,5,3,6,1,1
22,Femme,6,4,7,1,4,1,1,4,3,7,1,3,6
34,Homme,4,3,1,4,3,3,2,4,5,4,1,4,2
12,Femme,5,5,3,3,4,5,4,7,1,2,4,6,2
68,Homme,1,6,4,1,2,3,4,3,3,7,2,6,7
35,Homme,2,4,5,5,7,3,1,6,7,2,6,7,2
38,Homme,7,3,1,2,5,4,3,2,2,3,2,6,3
19,Homme,6,6,1,4,2,4,2,1,7,5,6,6,5
13,Femme,7,2,1,1,4,6,4,5,3,3,6,6,3
51,Homme,1,7,7,4,3,6,3,3,4,4,7,3,4
54,Homme,6,2,2,5,1,1,5,4,1,6,6,5,1
45,Homme,7,1,7,3,3,2,2,6,2,7,2,2,7
43,Homme,1,2,1,6,2,7,6,1,6,3,6,7,4
32,Femme,1,1,5,7,2,4,1,2,5,4,2,7,7
37,Femme,3,3,3,4,2,5,2,6,1,2,4,7,1
50,Homme,1,7,3,2,4,7,6,3,4,3,1,5,3
57,Homme,2,2,2,3,7,3,1,3,6,7,5,5,5
56,Homme,2,6,1,6,6,5,1,1,5,5,4,3,4
60,Homme,7,7,2,1,3,4,3,3,1,7,5,4,1
12,Homme,1,2,6,5,1,3,3,3,3,5,2,4,2
24,Homme,1,6,6,2,6,6,1,3,4,7,5,7,2
34,Homme,2,7,1,2,2,5,3,2,6,3,1,6,5
27,Homme,1,3,3,6,6,5,7,2,4,6,7,1,6
23,Femme,1,4,4,4,5,3,7,6,6,4,4,3,1
30,Homme,4,7,3,1,1,2,4,1,4,5,6,6,2
22,Femme,7,4,6,4,1,1,6,1,2,6,6,2,7
15,Homme,6,2,3,5,1,1,6,2,1,6,4,7,7
16,Homme,5,6,5,1,1,1,2,4,5,6,4,7,4
46,Homme,1,2,3,3,5,4,2,3,2,1,4,3,7
24,Homme,1,6,7,1,5,4,3,7,3,1,1,3,5
64,Homme,5,7,3,3,7,7,2,2,1,7,2,3,3
50,Homme,3,4,6,6,7,5,5,5,5,3,5,3,6
52,Homme,6,4,5,7,2,6,4,4,5,1,5,1,5
70,Homme,2,5,5,6,5,3,6,5,6,2,5,6,6
61,Homme,4,5,1,5,2,4,6,5,3,5,3,6,5
26,Femme,5,4,6,6,2,5,5,3,2,1,2,2,6
67,Femme,3,6,4,2,4,5,6,3,7,1,3,7,4
